125	Jac_023	(0)	14	0.000	1.000
126	Jac_024	(0)	14	0.000	1.000
127	Jac_025	(0)	14	0.000	1.000
128	Jac_026	(0)	14	0.005	0.995
129	Jac_027	(0)	14	0.000	1.000
130	Jac_028	(0)	14	0.000	1.000
131	Jac_036	(0)	14	0.155	0.845
132	Jac_041	(0)	14	0.000	1.000
133	Jac_076	(0)	14	0.000	1.000
134	Jac_078	(0)	14	0.000	1.000
135	Jac_079	(0)	14	0.005	0.995
136	Jac_081	(0)	14	0.000	1.000
137	Jac_082	(0)	14	0.000	1.000
138	Jac_083	(0)	14	0.000	1.000
139	Jac_086	(0)	14	0.000	1.000
140	Jac_090	(0)	14	0.000	1.000
141	Jac_091	(0)	14	0.000	1.000
142	Jac_092	(0)	14	0.000	1.000
143	Jac_094	(0)	14	0.000	1.000
144	Lun_001	(1)	15	1.000	0.000
145	Lun_008	(1)	15	1.000	0.000
146	Lun_009	(1)	15	1.000	0.000
147	Lun_010	(1)	15	1.000	0.000
148	Lun_011	(0)	15	1.000	0.000
149	Lun_012	(1)	15	1.000	0.000
150	Lun_013	(1)	15	1.000	0.000
151	Lun_014	(1)	15	0.999	0.001
152	Lun_015	(3)	15	0.969	0.031
153	Lun_016	(1)	15	1.000	0.000
154	Lun_017	(1)	15	1.000	0.000
155	Lun_02	(1)	15	1.000	0.000
156	Mar_001	(0)	16	0.012	0.988
157	Mar_003	(0)	16	0.000	1.000
158	Mar_004	(0)	16	0.000	1.000
159	Mar_005	(0)	16	0.000	1.000
160	Mar_006	(0)	16	0.001	0.999
161	Mar_007	(0)	16	0.000	1.000
162	Mar_008	(0)	16	0.002	0.998
163	Mar_009	(0)	16	0.017	0.983
164	Mar_011	(0)	16	0.001	0.999
165	Mar_012	(0)	16	0.004	0.996
166	Mar_013	(0)	16	0.043	0.957
167	Mar_02	(0)	16	0.015	0.985
168	NK_001	(12)	17	0.179	0.821
169	NK_002	(0)	17	0.103	0.897
170	NK_004	(2)	17	0.059	0.941
171	NK_006	(7)	17	0.097	0.903
172	NK_007	(0)	17	0.057	0.943
173	NK_008	(2)	17	0.080	0.920
174	NK_011	(3)	17	0.081	0.919
175	NK_012	(23)	17	0.199	0.801
176	NK_013	(2)	17	0.061	0.939
177	NK_016	(0)	17	0.070	0.930
178	NK_019	(0)	17	0.152	0.848
179	PR_045	(0)	18	0.052	0.948
180	PR_046	(0)	18	0.043	0.957
181	PR_047	(0)	18	0.030	0.970
182	PR_048	(0)	18	0.045	0.955
183	PR_049	(0)	18	0.028	0.972
184	PR_051	(0)	18	0.067	0.933
