66	D11w40_012	(0)	10	0.318	0.063	0.023	0.468	0.006	0.066	0.056
67	D6w27_008	(0)	10	0.259	0.122	0.003	0.450	0.052	0.002	0.113
68	D6w30_005	(0)	10	0.312	0.136	0.011	0.403	0.017	0.043	0.079
69	D6w40_003	(0)	10	0.222	0.017	0.128	0.447	0.021	0.053	0.112
70	D7w26_004	(0)	10	0.242	0.118	0.020	0.400	0.040	0.034	0.147
71	D7w26_005	(0)	10	0.287	0.067	0.076	0.427	0.015	0.002	0.126
72	D7w30_004	(0)	10	0.170	0.110	0.035	0.481	0.065	0.027	0.113
73	FP_014	(0)	11	0.005	0.000	0.441	0.256	0.000	0.219	0.079
74	FP_027	(0)	11	0.001	0.000	0.422	0.314	0.000	0.214	0.048
75	FP_029	(0)	11	0.000	0.000	0.419	0.289	0.001	0.239	0.051
76	FP_037	(0)	11	0.000	0.000	0.437	0.264	0.001	0.212	0.086
77	FP_038	(0)	11	0.016	0.000	0.437	0.299	0.008	0.206	0.034
78	FP_040	(0)	11	0.000	0.000	0.436	0.285	0.000	0.228	0.050
79	FP_041	(0)	11	0.003	0.002	0.382	0.348	0.001	0.223	0.041
80	FP_042	(0)	11	0.032	0.000	0.422	0.279	0.000	0.218	0.048
81	FP_043	(0)	11	0.038	0.000	0.401	0.303	0.001	0.241	0.017
82	FP_046	(0)	11	0.022	0.002	0.344	0.251	0.001	0.324	0.057
83	FP_047	(0)	11	0.027	0.000	0.421	0.260	0.001	0.207	0.083
84	FP_048	(0)	11	0.000	0.000	0.398	0.239	0.001	0.291	0.071
85	Goud_001	(2)	12	0.000	0.437	0.002	0.021	0.532	0.003	0.004
86	Goud_003	(0)	12	0.000	0.570	0.000	0.000	0.430	0.000	0.000
87	Goud_004	(1)	12	0.000	0.840	0.000	0.000	0.160	0.000	0.000
88	Goud_005	(1)	12	0.016	0.566	0.004	0.001	0.382	0.031	0.001
89	Goud_006	(0)	12	0.000	0.487	0.000	0.001	0.511	0.000	0.001
90	Goud_007	(0)	12	0.000	0.376	0.000	0.000	0.623	0.000	0.000
91	Goud_008	(1)	12	0.000	0.573	0.000	0.000	0.427	0.000	0.000
92	Goud_009	(0)	12	0.000	0.214	0.000	0.064	0.718	0.000	0.003
93	Goud_010	(0)	12	0.043	0.420	0.015	0.002	0.461	0.059	0.001
94	Goud_011	(1)	12	0.000	0.286	0.000	0.000	0.714	0.000	0.000
95	Goud_012	(0)	12	0.000	0.360	0.000	0.000	0.640	0.000	0.000
96	Goud_02	(0)	12	0.000	0.112	0.000	0.000	0.888	0.000	0.000
97	HW_001	(0)	13	0.017	0.000	0.518	0.253	0.001	0.127	0.083
98	HW_002	(0)	13	0.000	0.000	0.563	0.232	0.000	0.151	0.053
99	HW_003	(2)	13	0.021	0.000	0.524	0.250	0.000	0.119	0.087
100	HW_004	(0)	13	0.000	0.000	0.529	0.267	0.007	0.192	0.005
101	HW_016	(0)	13	0.000	0.000	0.537	0.271	0.000	0.136	0.056
102	HW_019	(0)	13	0.000	0.000	0.480	0.240	0.026	0.216	0.038
103	Jac_001	(0)	14	0.000	0.000	0.000	0.001	0.000	0.000	0.998
