106	Jac_004	(0)	14	0.007	0.000	0.993
107	Jac_005	(0)	14	0.000	0.000	1.000
108	Jac_006	(0)	14	0.000	0.001	0.999
109	Jac_007	(0)	14	0.000	0.000	1.000
110	Jac_008	(0)	14	0.000	0.000	1.000
111	Jac_009	(0)	14	0.000	0.000	1.000
112	Jac_010	(0)	14	0.007	0.028	0.966
113	Jac_011	(0)	14	0.000	0.000	1.000
114	Jac_012	(0)	14	0.000	0.000	1.000
115	Jac_013	(0)	14	0.000	0.000	1.000
116	Jac_014	(0)	14	0.000	0.000	0.999
117	Jac_015	(0)	14	0.000	0.000	0.999
118	Jac_016	(0)	14	0.000	0.000	1.000
119	Jac_017	(0)	14	0.000	0.000	0.999
120	Jac_018	(0)	14	0.002	0.012	0.986
121	Jac_019	(0)	14	0.000	0.000	0.999
122	Jac_020	(0)	14	0.000	0.005	0.994
123	Jac_021	(0)	14	0.000	0.000	1.000
124	Jac_022	(0)	14	0.000	0.037	0.963
125	Jac_023	(0)	14	0.000	0.000	0.999
126	Jac_024	(0)	14	0.000	0.012	0.988
127	Jac_025	(0)	14	0.000	0.001	0.999
128	Jac_026	(0)	14	0.002	0.003	0.995
129	Jac_027	(0)	14	0.000	0.006	0.994
130	Jac_028	(0)	14	0.000	0.007	0.993
131	Jac_036	(0)	14	0.153	0.486	0.361
132	Jac_041	(0)	14	0.000	0.001	0.999
133	Jac_076	(0)	14	0.000	0.000	1.000
134	Jac_078	(0)	14	0.000	0.017	0.982
135	Jac_079	(0)	14	0.000	0.001	0.999
136	Jac_081	(0)	14	0.000	0.001	0.999
137	Jac_082	(0)	14	0.000	0.002	0.998
138	Jac_083	(0)	14	0.000	0.003	0.997
139	Jac_086	(0)	14	0.000	0.001	0.999
140	Jac_090	(0)	14	0.000	0.000	1.000
141	Jac_091	(0)	14	0.000	0.000	0.999
142	Jac_092	(0)	14	0.000	0.001	0.999
143	Jac_094	(0)	14	0.000	0.000	1.000
144	Lun_001	(1)	15	1.000	0.000	0.000
145	Lun_008	(1)	15	0.999	0.000	0.000
146	Lun_009	(1)	15	1.000	0.000	0.000
147	Lun_010	(1)	15	1.000	0.000	0.000
148	Lun_011	(0)	15	1.000	0.000	0.000
149	Lun_012	(1)	15	1.000	0.000	0.000
150	Lun_013	(1)	15	1.000	0.000	0.000
151	Lun_014	(1)	15	0.997	0.002	0.000
152	Lun_015	(3)	15	0.969	0.027	0.004
153	Lun_016	(1)	15	1.000	0.000	0.000
154	Lun_017	(1)	15	1.000	0.000	0.000
155	Lun_02	(1)	15	1.000	0.000	0.000
156	Mar_001	(0)	16	0.013	0.194	0.793
157	Mar_003	(0)	16	0.000	0.350	0.649
158	Mar_004	(0)	16	0.001	0.214	0.785
159	Mar_005	(0)	16	0.000	0.364	0.636
160	Mar_006	(0)	16	0.001	0.341	0.658
161	Mar_007	(0)	16	0.000	0.336	0.664
162	Mar_008	(0)	16	0.002	0.264	0.734
163	Mar_009	(0)	16	0.017	0.301	0.683
164	Mar_011	(0)	16	0.001	0.304	0.695
165	Mar_012	(0)	16	0.004	0.305	0.691
166	Mar_013	(0)	16	0.039	0.334	0.627
167	Mar_02	(0)	16	0.011	0.342	0.646
168	NK_001	(12)	17	0.176	0.482	0.342
169	NK_002	(0)	17	0.100	0.467	0.433
170	NK_004	(2)	17	0.056	0.492	0.452
171	NK_006	(7)	17	0.095	0.441	0.464
172	NK_007	(0)	17	0.054	0.490	0.456
173	NK_008	(2)	17	0.077	0.477	0.446
174	NK_011	(3)	17	0.079	0.467	0.454
175	NK_012	(23)	17	0.194	0.535	0.271
176	NK_013	(2)	17	0.059	0.497	0.444
177	NK_016	(0)	17	0.066	0.496	0.438
178	NK_019	(0)	17	0.150	0.460	0.390
179	PR_045	(0)	18	0.049	0.520	0.430
180	PR_046	(0)	18	0.039	0.534	0.426
181	PR_047	(0)	18	0.026	0.541	0.433
182	PR_048	(0)	18	0.043	0.488	0.470
183	PR_049	(0)	18	0.025	0.509	0.466
184	PR_051	(0)	18	0.063	0.527	0.410
185	PR_052	(0)	18	0.042	0.589	0.369
186	PR_053	(0)	18	0.014	0.519	0.468
187	PR_054	(0)	18	0.013	0.590	0.398
188	PR_055	(0)	18	0.018	0.580	0.402
189	PR_056	(0)	18	0.040	0.516	0.444
190	PR_057	(0)	18	0.078	0.574	0.349
191	Sedh_001	(0)	19	0.591	0.195	0.214
192	Sedh_003	(0)	19	0.999	0.000	0.001
193	Sedh_004	(1)	19	1.000	0.000	0.000
194	Sedh_005	(0)	19	0.556	0.200	0.244
195	Sedh_006	(1)	19	1.000	0.000	0.000
196	Sedh_007	(1)	19	0.964	0.006	0.030
197	Sedh_009	(1)	19	1.000	0.000	0.000
198	Sedh_010	(3)	19	0.986	0.013	0.001
199	Sedh_011	(0)	19	0.679	0.165	0.156
200	Sedh_012	(1)	19	1.000	0.000	0.000
201	Sedh_013	(1)	19	0.761	0.123	0.116
202	Sedh_02	(0)	19	0.998	0.001	0.001
203	TH_01	(0)	20	0.000	0.996	0.004
204	TH_02	(0)	20	0.000	0.998	0.002
205	TH_03	(0)	20	0.000	0.999	0.000
206	TH_04	(0)	20	0.000	1.000	0.000
207	TH_05	(0)	20	0.000	1.000	0.000
208	TH_06	(0)	20	0.000	0.953	0.047
209	TH_07	(0)	20	0.000	1.000	0.000
210	TH_08	(0)	20	0.000	1.000	0.000
211	TH_09	(2)	20	0.000	0.991	0.009
212	TH_10	(0)	20	0.000	1.000	0.000
213	TH_11	(0)	20	0.000	1.000	0.000
214	TapaN_001	(1)	21	0.024	0.492	0.484
215	TapaN_002	(0)	21	0.026	0.590	0.384
216	TapaN_003	(0)	21	0.033	0.454	0.512
217	TapaN_004	(0)	21	0.041	0.493	0.466
218	TapaN_005	(0)	21	0.044	0.476	0.480
219	TapaN_006	(2)	21	0.076	0.471	0.453
220	TapaN_007	(0)	21	0.062	0.564	0.374
221	TapaN_008	(0)	21	0.028	0.440	0.532
222	TapaN_009	(0)	21	0.077	0.467	0.455
223	TapaN_010	(1)	21	0.036	0.511	0.453
224	TapaN_011	(0)	21	0.017	0.598	0.385
225	TapaN_012	(0)	21	0.056	0.522	0.422
226	Tucs_01	(0)	22	0.191	0.520	0.289
227	Tucs_02	(0)	22	0.312	0.437	0.252
228	Tucs_03	(0)	22	0.156	0.512	0.332
229	Tucs_04	(0)	22	0.233	0.479	0.289
230	Tucs_05	(0)	22	0.183	0.542	0.275
231	Tucs_06	(0)	22	0.152	0.537	0.311
232	Tucs_07	(0)	22	0.130	0.532	0.338
233	Tucs_08	(1)	22	0.164	0.521	0.315
234	Tucs_09	(0)	22	0.168	0.537	0.295
235	Tucs_10	(0)	22	0.177	0.506	0.318
236	Tucs_11	(0)	22	0.221	0.482	0.297
237	Tucs_12	(0)	22	0.127	0.537	0.336
