72	D7w30_004	(0)	10	0.031	0.110	0.039	0.184	0.510	0.127
73	FP_014	(0)	11	0.225	0.085	0.451	0.027	0.212	0.000
74	FP_027	(0)	11	0.221	0.059	0.434	0.002	0.284	0.000
75	FP_029	(0)	11	0.248	0.060	0.432	0.000	0.260	0.000
76	FP_037	(0)	11	0.218	0.091	0.447	0.000	0.243	0.000
77	FP_038	(0)	11	0.211	0.038	0.445	0.034	0.271	0.001
78	FP_040	(0)	11	0.236	0.058	0.448	0.000	0.258	0.000
79	FP_041	(0)	11	0.231	0.047	0.393	0.021	0.306	0.002
80	FP_042	(0)	11	0.225	0.056	0.433	0.054	0.232	0.000
81	FP_043	(0)	11	0.247	0.029	0.410	0.058	0.256	0.000
82	FP_046	(0)	11	0.330	0.061	0.350	0.040	0.217	0.002
83	FP_047	(0)	11	0.214	0.088	0.431	0.047	0.220	0.000
84	FP_048	(0)	11	0.298	0.078	0.407	0.001	0.215	0.000
85	Goud_001	(2)	12	0.005	0.010	0.019	0.000	0.378	0.589
86	Goud_003	(0)	12	0.001	0.002	0.000	0.000	0.216	0.781
87	Goud_004	(1)	12	0.000	0.000	0.000	0.000	0.033	0.966
88	Goud_005	(1)	12	0.030	0.037	0.006	0.000	0.214	0.713
89	Goud_006	(0)	12	0.001	0.024	0.001	0.000	0.337	0.638
90	Goud_007	(0)	12	0.003	0.009	0.001	0.000	0.384	0.602
91	Goud_008	(1)	12	0.000	0.001	0.000	0.000	0.263	0.735
92	Goud_009	(0)	12	0.001	0.045	0.003	0.000	0.537	0.414
93	Goud_010	(0)	12	0.067	0.013	0.021	0.001	0.319	0.579
94	Goud_011	(1)	12	0.001	0.001	0.000	0.000	0.416	0.582
95	Goud_012	(0)	12	0.004	0.028	0.002	0.000	0.391	0.575
96	Goud_02	(0)	12	0.001	0.020	0.001	0.000	0.606	0.373
97	HW_001	(0)	13	0.131	0.086	0.527	0.030	0.226	0.000
98	HW_002	(0)	13	0.158	0.063	0.577	0.000	0.201	0.000
99	HW_003	(2)	13	0.123	0.092	0.534	0.033	0.216	0.000
100	HW_004	(0)	13	0.199	0.011	0.542	0.000	0.248	0.000
101	HW_016	(0)	13	0.144	0.066	0.551	0.000	0.239	0.000
102	HW_019	(0)	13	0.222	0.049	0.491	0.001	0.235	0.001
103	Jac_001	(0)	14	0.000	0.997	0.000	0.000	0.003	0.000
104	Jac_002	(0)	14	0.013	0.918	0.003	0.040	0.018	0.007
105	Jac_003	(0)	14	0.004	0.960	0.035	0.000	0.001	0.000
106	Jac_004	(0)	14	0.000	0.965	0.000	0.023	0.003	0.008
107	Jac_005	(0)	14	0.000	0.988	0.000	0.010	0.001	0.000
108	Jac_006	(0)	14	0.000	0.946	0.000	0.000	0.053	0.000
109	Jac_007	(0)	14	0.000	0.995	0.000	0.001	0.004	0.000
110	Jac_008	(0)	14	0.000	0.999	0.000	0.000	0.001	0.000
111	Jac_009	(0)	14	0.000	0.999	0.000	0.000	0.000	0.000
112	Jac_010	(0)	14	0.007	0.880	0.000	0.031	0.080	0.003
113	Jac_011	(0)	14	0.001	0.997	0.000	0.001	0.002	0.000
114	Jac_012	(0)	14	0.000	0.999	0.000	0.000	0.000	0.000
115	Jac_013	(0)	14	0.000	0.949	0.000	0.000	0.050	0.000
116	Jac_014	(0)	14	0.000	0.944	0.000	0.003	0.052	0.000
117	Jac_015	(0)	14	0.000	0.967	0.000	0.001	0.031	0.001
118	Jac_016	(0)	14	0.000	0.999	0.000	0.000	0.000	0.000
119	Jac_017	(0)	14	0.000	0.983	0.000	0.016	0.000	0.000
120	Jac_018	(0)	14	0.022	0.967	0.000	0.010	0.000	0.001
121	Jac_019	(0)	14	0.000	0.981	0.000	0.018	0.000	0.000
122	Jac_020	(0)	14	0.001	0.935	0.000	0.009	0.056	0.000
123	Jac_021	(0)	14	0.000	0.999	0.000	0.000	0.000	0.000
124	Jac_022	(0)	14	0.001	0.958	0.041	0.000	0.000	0.000
125	Jac_023	(0)	14	0.000	0.946	0.000	0.053	0.000	0.000
126	Jac_024	(0)	14	0.000	0.962	0.008	0.000	0.029	0.000
127	Jac_025	(0)	14	0.000	0.995	0.002	0.002	0.001	0.000
128	Jac_026	(0)	14	0.000	0.921	0.000	0.079	0.000	0.000
129	Jac_027	(0)	14	0.022	0.975	0.001	0.001	0.002	0.000
130	Jac_028	(0)	14	0.001	0.972	0.001	0.026	0.000	0.000
131	Jac_036	(0)	14	0.042	0.045	0.001	0.426	0.427	0.059
132	Jac_041	(0)	14	0.000	0.999	0.000	0.000	0.000	0.000
133	Jac_076	(0)	14	0.000	0.998	0.000	0.000	0.002	0.000
134	Jac_078	(0)	14	0.001	0.914	0.000	0.000	0.085	0.000
135	Jac_079	(0)	14	0.000	0.950	0.000	0.002	0.044	0.003
136	Jac_081	(0)	14	0.001	0.998	0.001	0.000	0.000	0.000
137	Jac_082	(0)	14	0.002	0.977	0.000	0.020	0.001	0.000
138	Jac_083	(0)	14	0.001	0.982	0.016	0.000	0.001	0.000
139	Jac_086	(0)	14	0.001	0.984	0.000	0.000	0.014	0.000
140	Jac_090	(0)	14	0.000	0.999	0.000	0.000	0.001	0.000
141	Jac_091	(0)	14	0.000	0.996	0.000	0.000	0.003	0.000
142	Jac_092	(0)	14	0.000	0.983	0.000	0.001	0.015	0.000
143	Jac_094	(0)	14	0.000	0.995	0.000	0.000	0.004	0.000
144	Lun_001	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
145	Lun_008	(1)	15	0.000	0.000	0.000	0.001	0.000	0.998
146	Lun_009	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
147	Lun_010	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
148	Lun_011	(0)	15	0.000	0.000	0.000	0.000	0.000	1.000
149	Lun_012	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
150	Lun_013	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
151	Lun_014	(1)	15	0.000	0.000	0.001	0.008	0.000	0.990
152	Lun_015	(3)	15	0.002	0.001	0.008	0.028	0.001	0.961
153	Lun_016	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
154	Lun_017	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
155	Lun_02	(1)	15	0.000	0.000	0.000	0.000	0.000	1.000
156	Mar_001	(0)	16	0.001	0.600	0.040	0.000	0.354	0.005
157	Mar_003	(0)	16	0.045	0.474	0.096	0.023	0.362	0.000
158	Mar_004	(0)	16	0.014	0.563	0.029	0.000	0.393	0.000
159	Mar_005	(0)	16	0.095	0.491	0.073	0.052	0.289	0.000
160	Mar_006	(0)	16	0.028	0.521	0.124	0.055	0.272	0.000
161	Mar_007	(0)	16	0.044	0.503	0.093	0.001	0.359	0.000
162	Mar_008	(0)	16	0.000	0.489	0.059	0.001	0.450	0.000
163	Mar_009	(0)	16	0.056	0.534	0.073	0.034	0.297	0.006
164	Mar_011	(0)	16	0.032	0.510	0.048	0.014	0.396	0.000
165	Mar_012	(0)	16	0.053	0.528	0.067	0.005	0.346	0.000
