81	FP_043	(0)	11	0.256	0.000	0.255	0.067	0.421
82	FP_046	(0)	11	0.339	0.002	0.199	0.100	0.360
83	FP_047	(0)	11	0.222	0.000	0.216	0.123	0.439
84	FP_048	(0)	11	0.306	0.000	0.151	0.119	0.423
85	Goud_001	(2)	12	0.048	0.598	0.215	0.094	0.044
86	Goud_003	(0)	12	0.035	0.795	0.070	0.098	0.002
87	Goud_004	(1)	12	0.000	0.974	0.025	0.001	0.000
88	Goud_005	(1)	12	0.052	0.720	0.110	0.096	0.022
89	Goud_006	(0)	12	0.032	0.650	0.178	0.125	0.015
90	Goud_007	(0)	12	0.049	0.612	0.191	0.119	0.029
91	Goud_008	(1)	12	0.000	0.741	0.157	0.099	0.003
92	Goud_009	(0)	12	0.016	0.423	0.303	0.199	0.059
93	Goud_010	(0)	12	0.085	0.581	0.200	0.095	0.040
94	Goud_011	(1)	12	0.052	0.598	0.227	0.120	0.003
95	Goud_012	(0)	12	0.056	0.585	0.196	0.128	0.034
96	Goud_02	(0)	12	0.037	0.384	0.325	0.212	0.042
97	HW_001	(0)	13	0.138	0.000	0.202	0.120	0.539
98	HW_002	(0)	13	0.169	0.000	0.131	0.102	0.598
99	HW_003	(2)	13	0.130	0.000	0.199	0.123	0.548
100	HW_004	(0)	13	0.211	0.000	0.168	0.059	0.561
101	HW_016	(0)	13	0.157	0.000	0.162	0.109	0.573
102	HW_019	(0)	13	0.234	0.001	0.172	0.088	0.506
103	Jac_001	(0)	14	0.000	0.000	0.000	0.999	0.000
104	Jac_002	(0)	14	0.009	0.010	0.051	0.927	0.003
105	Jac_003	(0)	14	0.004	0.000	0.001	0.963	0.032
106	Jac_004	(0)	14	0.000	0.012	0.008	0.980	0.000
107	Jac_005	(0)	14	0.000	0.000	0.006	0.994	0.000
108	Jac_006	(0)	14	0.001	0.000	0.009	0.990	0.000
109	Jac_007	(0)	14	0.000	0.000	0.001	0.998	0.000
110	Jac_008	(0)	14	0.000	0.000	0.000	0.999	0.000
111	Jac_009	(0)	14	0.000	0.000	0.000	1.000	0.000
112	Jac_010	(0)	14	0.011	0.004	0.082	0.903	0.000
113	Jac_011	(0)	14	0.000	0.000	0.000	0.999	0.000
114	Jac_012	(0)	14	0.000	0.000	0.000	1.000	0.000
115	Jac_013	(0)	14	0.000	0.000	0.001	0.998	0.001
116	Jac_014	(0)	14	0.000	0.001	0.020	0.979	0.000
117	Jac_015	(0)	14	0.000	0.002	0.005	0.993	0.000
118	Jac_016	(0)	14	0.000	0.000	0.000	0.999	0.000
119	Jac_017	(0)	14	0.000	0.000	0.002	0.997	0.000
120	Jac_018	(0)	14	0.022	0.002	0.001	0.974	0.000
121	Jac_019	(0)	14	0.001	0.000	0.004	0.995	0.000
122	Jac_020	(0)	14	0.001	0.000	0.050	0.949	0.000
123	Jac_021	(0)	14	0.000	0.000	0.000	0.999	0.000
124	Jac_022	(0)	14	0.001	0.000	0.000	0.959	0.040
125	Jac_023	(0)	14	0.000	0.000	0.031	0.969	0.000
126	Jac_024	(0)	14	0.001	0.000	0.002	0.982	0.016
127	Jac_025	(0)	14	0.000	0.000	0.001	0.997	0.001
128	Jac_026	(0)	14	0.000	0.005	0.038	0.956	0.001
129	Jac_027	(0)	14	0.018	0.000	0.001	0.980	0.000
130	Jac_028	(0)	14	0.002	0.000	0.012	0.983	0.002
131	Jac_036	(0)	14	0.038	0.075	0.795	0.092	0.001
132	Jac_041	(0)	14	0.000	0.000	0.000	0.999	0.000
133	Jac_076	(0)	14	0.000	0.000	0.000	1.000	0.000
134	Jac_078	(0)	14	0.002	0.000	0.034	0.963	0.001
135	Jac_079	(0)	14	0.001	0.003	0.011	0.985	0.000
136	Jac_081	(0)	14	0.001	0.000	0.000	0.999	0.001
137	Jac_082	(0)	14	0.006	0.001	0.008	0.985	0.001
138	Jac_083	(0)	14	0.001	0.000	0.001	0.986	0.012
139	Jac_086	(0)	14	0.001	0.000	0.002	0.996	0.000
140	Jac_090	(0)	14	0.000	0.000	0.000	0.999	0.000
141	Jac_091	(0)	14	0.000	0.000	0.001	0.999	0.000
142	Jac_092	(0)	14	0.000	0.000	0.002	0.998	0.000
143	Jac_094	(0)	14	0.000	0.000	0.001	0.999	0.000
144	Lun_001	(1)	15	0.000	1.000	0.000	0.000	0.000
145	Lun_008	(1)	15	0.000	0.999	0.000	0.000	0.000
146	Lun_009	(1)	15	0.000	1.000	0.000	0.000	0.000
147	Lun_010	(1)	15	0.000	1.000	0.000	0.000	0.000
148	Lun_011	(0)	15	0.000	1.000	0.000	0.000	0.000
149	Lun_012	(1)	15	0.000	1.000	0.000	0.000	0.000
150	Lun_013	(1)	15	0.000	1.000	0.000	0.000	0.000
151	Lun_014	(1)	15	0.001	0.996	0.002	0.000	0.001
152	Lun_015	(3)	15	0.003	0.965	0.020	0.002	0.010
153	Lun_016	(1)	15	0.000	1.000	0.000	0.000	0.000
154	Lun_017	(1)	15	0.000	1.000	0.000	0.000	0.000
155	Lun_02	(1)	15	0.000	1.000	0.000	0.000	0.000
156	Mar_001	(0)	16	0.003	0.002	0.234	0.697	0.064
