92	Goud_009	(0)	12	0.289	0.089	0.200	0.422
93	Goud_010	(0)	12	0.200	0.120	0.097	0.583
94	Goud_011	(1)	12	0.225	0.052	0.124	0.599
95	Goud_012	(0)	12	0.193	0.091	0.130	0.586
96	Goud_02	(0)	12	0.315	0.086	0.215	0.384
97	HW_001	(0)	13	0.179	0.705	0.116	0.000
98	HW_002	(0)	13	0.103	0.799	0.097	0.000
99	HW_003	(2)	13	0.174	0.707	0.119	0.000
100	HW_004	(0)	13	0.146	0.798	0.056	0.000
101	HW_016	(0)	13	0.131	0.765	0.105	0.000
102	HW_019	(0)	13	0.156	0.757	0.086	0.001
103	Jac_001	(0)	14	0.000	0.000	0.999	0.000
104	Jac_002	(0)	14	0.049	0.014	0.927	0.010
105	Jac_003	(0)	14	0.001	0.035	0.964	0.000
106	Jac_004	(0)	14	0.008	0.000	0.980	0.011
107	Jac_005	(0)	14	0.005	0.000	0.995	0.000
108	Jac_006	(0)	14	0.008	0.000	0.991	0.000
109	Jac_007	(0)	14	0.001	0.000	0.998	0.000
110	Jac_008	(0)	14	0.000	0.000	1.000	0.000
111	Jac_009	(0)	14	0.000	0.000	1.000	0.000
112	Jac_010	(0)	14	0.090	0.000	0.906	0.003
113	Jac_011	(0)	14	0.000	0.000	0.999	0.000
114	Jac_012	(0)	14	0.000	0.000	1.000	0.000
115	Jac_013	(0)	14	0.001	0.000	0.999	0.000
116	Jac_014	(0)	14	0.018	0.000	0.980	0.001
117	Jac_015	(0)	14	0.004	0.000	0.994	0.002
118	Jac_016	(0)	14	0.000	0.000	1.000	0.000
119	Jac_017	(0)	14	0.002	0.000	0.997	0.000
120	Jac_018	(0)	14	0.009	0.007	0.981	0.002
121	Jac_019	(0)	14	0.003	0.000	0.996	0.000
122	Jac_020	(0)	14	0.049	0.000	0.950	0.000
123	Jac_021	(0)	14	0.000	0.000	1.000	0.000
124	Jac_022	(0)	14	0.000	0.037	0.963	0.000
125	Jac_023	(0)	14	0.030	0.000	0.969	0.000
126	Jac_024	(0)	14	0.002	0.012	0.986	0.000
127	Jac_025	(0)	14	0.001	0.001	0.998	0.000
128	Jac_026	(0)	14	0.039	0.000	0.957	0.004
129	Jac_027	(0)	14	0.003	0.005	0.991	0.000
130	Jac_028	(0)	14	0.011	0.003	0.985	0.000
131	Jac_036	(0)	14	0.813	0.015	0.099	0.073
132	Jac_041	(0)	14	0.000	0.001	0.999	0.000
133	Jac_076	(0)	14	0.000	0.000	1.000	0.000
134	Jac_078	(0)	14	0.032	0.003	0.965	0.000
135	Jac_079	(0)	14	0.011	0.000	0.986	0.003
136	Jac_081	(0)	14	0.000	0.001	0.999	0.000
137	Jac_082	(0)	14	0.011	0.001	0.987	0.001
138	Jac_083	(0)	14	0.001	0.010	0.989	0.000
