60	Clovis_062	(0)	9	0.001	0.020	0.075	0.000	0.055	0.635	0.032	0.182
61	D10w26_007	(1)	10	0.026	0.032	0.123	0.000	0.053	0.387	0.115	0.264
62	D10w29_009	(0)	10	0.080	0.000	0.137	0.000	0.038	0.246	0.099	0.399
63	D10w29_010	(0)	10	0.038	0.003	0.119	0.001	0.075	0.346	0.163	0.255
64	D11w25_001	(1)	10	0.096	0.001	0.097	0.000	0.111	0.321	0.111	0.263
65	D11w40_011	(0)	10	0.074	0.059	0.051	0.021	0.013	0.190	0.129	0.464
66	D11w40_012	(0)	10	0.005	0.058	0.068	0.001	0.044	0.355	0.154	0.316
67	D6w27_008	(0)	10	0.079	0.001	0.137	0.000	0.050	0.292	0.064	0.378
68	D6w30_005	(0)	10	0.049	0.044	0.143	0.004	0.022	0.349	0.097	0.293
69	D6w40_003	(0)	10	0.055	0.027	0.023	0.003	0.227	0.242	0.158	0.266
70	D7w26_004	(0)	10	0.099	0.004	0.130	0.000	0.115	0.263	0.120	0.270
71	D7w26_005	(0)	10	0.085	0.001	0.073	0.021	0.098	0.318	0.122	0.282
72	D7w30_004	(0)	10	0.070	0.009	0.127	0.001	0.086	0.199	0.091	0.416
73	FP_014	(0)	11	0.002	0.080	0.000	0.048	0.769	0.002	0.099	0.000
74	FP_027	(0)	11	0.002	0.111	0.000	0.056	0.688	0.001	0.094	0.047
75	FP_029	(0)	11	0.001	0.123	0.000	0.068	0.683	0.000	0.120	0.004
76	FP_037	(0)	11	0.028	0.081	0.000	0.020	0.816	0.000	0.054	0.001
77	FP_038	(0)	11	0.001	0.078	0.001	0.069	0.708	0.015	0.088	0.041
78	FP_040	(0)	11	0.004	0.103	0.000	0.044	0.784	0.000	0.056	0.008
79	FP_041	(0)	11	0.001	0.108	0.001	0.043	0.664	0.011	0.127	0.044
80	FP_042	(0)	11	0.005	0.113	0.000	0.083	0.661	0.049	0.083	0.005
81	FP_043	(0)	11	0.000	0.129	0.000	0.042	0.659	0.046	0.122	0.001
82	FP_046	(0)	11	0.010	0.214	0.001	0.038	0.613	0.033	0.085	0.005
83	FP_047	(0)	11	0.014	0.090	0.000	0.048	0.707	0.019	0.120	0.001
84	FP_048	(0)	11	0.010	0.179	0.000	0.063	0.660	0.000	0.085	0.003
85	Goud_001	(2)	12	0.004	0.004	0.587	0.018	0.001	0.000	0.011	0.374
86	Goud_003	(0)	12	0.001	0.000	0.776	0.000	0.000	0.000	0.000	0.223
87	Goud_004	(1)	12	0.000	0.000	0.962	0.000	0.000	0.000	0.000	0.037
